reviewId,appId,score,content
28bd1e3b-d18a-4ff1-9168-9e1e9c62ee61,com.aisense.otter,2,"Doesn't really work all that well, which is to be expected with an AI app. All the features have been slowly paywalled away. But it still works well enough to save me time I guess🤷‍♂️"
266f1211-60bd-4f9c-92d5-69a2c19e0587,com.aisense.otter,1,Awesome app. It has dark mode. It provides 600 mins for free. Failed to recognise KANNADA audio recording
ff2a3d09-f17c-4bd3-ae13-516c5e11bb7a,com.aisense.otter,2,"I love the AI transcription tool in this so much and the little summaries it gives. However, I can not believe it offers only 10 imports month for the pro plan?? I mean, the amount of minutes is reasonable, but with this very few number of files I can import?! At the same time, I don't need all the perks for the business plan.. This is literally the only reason why I had to go with the other AI transcription tool"
b328e67e-3fca-4094-9651-6881e5a89c87,com.aisense.otter,1,"Great idea six years ago, now the app regularly (as in most times) misplaces the recording. Wholly unreliable. Screen on phone says I have 2hr37min of recording, but export the audio file and I get 9 minutes of recording."
1e83462b-2b99-4c86-8f98-3ead4a358ba0,com.aisense.otter,1,I have been using this app on my iPhone and the summary after the meetings were great. now of the android OS the same feature isn't there and there isn't a way to add AI Smart Summary. I'm going to have to try a different app.
df8776bc-43c3-4b01-9ec0-486845f7764a,com.aisense.otter,4,Not bad
c48e09ac-eb61-4b5c-b25f-5348afd1adc6,com.aisense.otter,2,"You can't edit summaries. Really disappointed. It's great for recording, transcribing, and makes a nice AI summary, but when the summary missed a key point (surely this is going to happen regularly?) I couldn't edit it! Also my second recording the transcription stopped a few mins in although the audio continues. The AI was no help at resolving either of these issues, had to ask a few different ways until it understood me but then I'd maxed out my AI questions limit. Moving to a competitor 🤷"
b65d48ba-c64a-4f4c-a372-33f7de30eb03,com.aisense.otter,1,"I get that you're trying to offer great and a lot of features, but the app is absolutely not usable, at least for my use case, which is, i press a button, you record an audio, i stop the recording, you give me a transcription. there is probably a way to do it but the other features are getting in the way soo much"
993adced-4773-4a6c-8ea8-a9908610e054,com.aisense.otter,1,I was very hopeful for this app but was extremely not helpful would not upload my recorded meeting and when it did only did part of the meeting I tried for days to get this to work ended up using fireflies in the end.
218dbc08-41a1-4f38-af42-abd0f95f27f0,com.aisense.otter,2,"It is a great app with some functionalities others does not have like include pictures while transcribing and live transcription, persons names, vocabulary and channels, but limitations of languages (needs to include portuguese!!!), not possible in app management of subscription, max time 90 min, and the outrageous reduction of minutes on paid Pro subscription is making me think about not renew it. Suggestions to improve: add mind map feature (Plaud), soundbites (fireflies), and key points."
709db5a1-48ec-467f-b65d-68d1add44f40,com.aisense.otter,2,"Transcription not great, misses a lot of words and writes the complete wrong thing eg ""that's his daughter"" was transcribed to ""grandaughter"""
1e54ee65-9a32-496c-b8d9-e9b3635473ec,com.aisense.otter,1,"DEVELOPERS PLEASE READ!!! This is an AMAZING app and is crucial in my projects, but has recently began a behavior that is absolutely DETRIMENTAL to using it. For me to be able to use this app I need to be able to pause, then come back. THE APP HAS STARTED KICKING OFF THE PAUSE WHILE IN THE BACKGROUND. I continuously come to find hours of recording which uses up a lot of time, and the file has reached it's maximum. Started doing this within the last month. Fixed, will switch back to 5 stars! :)"
25a8d361-0707-4ba2-bb8b-051391efd910,com.aisense.otter,1,"I started with a free trial and only needed it for a few months. When I went to cancel the subscription, it was nearly impossible to find. The FAQ was completely unhelpful and incorrect. There was no link to ""Settings"" or anything like it. I finally managed to find the cancellation button but only after clicking on anything and everything to see what I could find. I don't trust an app with such underhanded tactics because what else might they be doing that they refuse to make clear?"
0dd35361-479b-419e-b0e2-708005c344a0,com.aisense.otter,1,"I liked this app because it was simple and worked. I signed up for the paid plan, but since then they've added things that I would never use and made the app more complicated and worse at what it used to do well. I'm going back to the unpaid version, which isn't very good anymore either, and hoping that I can get my old recordings backed up."
bd96c2a0-bf21-4d2c-baa2-4bb02029452c,com.aisense.otter,2,"Free version used to be great! Now, it's holding all my recordings hostage. I can't view them unless I upgrade to the premium version. I can't even download them. OtterAI still lets you record as many things as you like, but then holds on to them to try to bait you to upgrade. You can only view the most recent 25. I'm hoping if I delete the first 25, I will gain access to some of the other ones."
8050727a-6aef-4d29-83c1-be38bcfe38b9,com.aisense.otter,1,Not so helpful
fe0f63f9-2226-47c1-aecd-1edc7081e2dd,com.aisense.otter,1,Excellent app very helpful
21b6e6b2-47b7-48b3-9ca4-ff262129f0c2,com.aisense.otter,4,"Every time I am making a search in this app I feel so frustrated. The app is showing you all the paragraphs in every meeting that have the searched words, but when clicking , the click is not always taking you to the exact paragraph but to the beginning of the meeting. Why is sometimes working and sometimes not? Very bad"
4593c1cc-04bd-461d-9842-8dc4b1c60a49,com.aisense.otter,1,"Maybe someday, but not yet. Not helpful, correct or as hyped."
18ab5e8c-43d2-44aa-8d4d-02616da5ddc2,com.aisense.otter,2,"Its a great app yes, but I've been trying for the last 2 months to renew my Otter Pro - it doesn't accept payment, it doesn't tell me what needs to be done. I've written to support twice and got no response from them either..."
324ee9a3-39b7-4aa8-8f90-e02c636868d3,com.aisense.otter,1,Not helpful. Not suitable for transcribing YouTube.
835386ae-6b8b-47c7-89ce-09eaf1b9ba9b,com.aisense.otter,1,"I'm sure this app is great, but I downloaded it for my Spanish class, and it doesn't translate Spanish, well, if at all."
17fbee4b-8add-492b-bd41-2d3805070e3a,ai.turbolearn,5,I used to be a very bad studier but when turbo is near me I don't need to worry
8b55bb90-8be6-4b35-926b-2a8cf0b6d4b7,ai.turbolearn,1,I love it!
8f0a3b61-c1a0-4be1-b2c8-30fc20d8af46,ai.turbolearn,1,i think it will be a great journey for all topper students! best of luck
a142daec-8815-412e-92c1-a8fcda9d8872,ai.turbolearn,1,this al is helpful
3ca7b4a6-7770-4965-8499-00f8e26e5886,ai.turbolearn,1,helpfull
3cd7e82b-fe7a-485a-8911-1c53b337df6a,ai.turbolearn,2,ok first thing the app is great but the one that takes it down is that you have to pay to use it which sucks which is annoying the fact that it won't be you access your notes highly recommend of you are willing to pay😭
4d01c89b-af46-430c-85cf-772365a4d864,ai.turbolearn,2,it's actually very helpful but I would love it if it was free.
a9b552f3-8b45-4eb0-b306-522ee1f47c3d,ai.turbolearn,2,it's a great app
6ab450d0-803e-447b-9383-66e2f1158f52,ai.turbolearn,2,a great app but wish it had a free version like don't give all features free but at least some of it...
